id,type,parent_site,name_en,name_ar,in_maan_governorate,lat,lon,group,source_url,flags,notes
PET-SOF,landmark,PET,Street of Facades,,yes,30.323142,35.4501264,B,https://www.openstreetmap.org/node/4788669947,needs_name_ar,
PET-URN,landmark,PET,Urn Tomb (Royal Tombs),,yes,30.327551,35.449262,B,https://www.openstreetmap.org/node/2437205310,needs_name_ar,
PET-SLK,landmark,PET,Silk Tomb (Royal Tombs),,yes,30.3280388,35.4492607,B,https://www.openstreetmap.org/node/2437205299,needs_name_ar,
PET-COR,landmark,PET,Corinthian Tomb (Royal Tombs),,yes,30.3285277,35.4495453,B,https://www.openstreetmap.org/node/2437205269,needs_name_ar,
PET-PAL,landmark,PET,Palace Tomb (Royal Tombs),,yes,30.3291065,35.4499137,B,https://www.openstreetmap.org/node/2437205291 | https://en.wikipedia.org/wiki/Palace_Tomb,needs_name_ar,
PET-THE,landmark,PET,Roman Theatre,,yes,30.3248246,35.446958,B,https://www.openstreetmap.org/way/41022807,needs_name_ar,
PET-HPS,landmark,PET,High Place of Sacrifice,,yes,30.3214793,35.4469854,B,https://www.openstreetmap.org/way/40995686,needs_name_ar,
PET-COL,landmark,PET,Colonnaded Street,,yes,,,B,https://en.wikipedia.org/wiki/Colonnaded_Street,"needs_coords,needs_name_ar",
PET-QAB,landmark,PET,Qasr al-Bint,قصر البنت,yes,30.3294833,35.4401292,C,https://www.openstreetmap.org/way/115512688 | https://en.wikipedia.org/wiki/Qasr_al-Bint,,"Q2 resolved: dropped '(Temple of Dushares)' - the deity's name is Dushara, not Dushares. Matches Pulga's fix in scraped_group_c.csv."
PET-TWL,landmark,PET,Temple of the Winged Lions,معبد الأسود المجنحة,yes,30.3300823,35.4424319,C,https://www.openstreetmap.org/way/115512690 | https://en.wikipedia.org/wiki/Temple_of_the_Winged_Lions,,
PET-CHU,landmark,PET,Petra Church,الكنيسة البيزنطية,yes,30.3306244,35.444369,C,https://www.openstreetmap.org/way/115515461,,
PET-RST,landmark,PET,Roman Soldier's Tomb,,yes,30.3208234,35.4448873,C,https://www.openstreetmap.org/node/5167013933 | https://en.wikipedia.org/wiki/Tomb_of_the_Roman_Soldier,needs_name_ar,
PET-GTM,landmark,PET,Garden Tomb,,yes,30.3204293,35.4454647,C,https://www.openstreetmap.org/node/2528846745,needs_name_ar,
PET-OBT,landmark,PET,Obelisk Tomb,,yes,30.3212234,35.4632816,C,https://www.openstreetmap.org/node/2437205290,needs_name_ar,
PET-GRT,landmark,PET,Great Temple,المعبد الكبير,yes,30.3288133,35.4423492,C,https://www.openstreetmap.org/way/115512705 | https://en.wikipedia.org/wiki/Great_Temple_%28Petra%29,,
PET-DJN,landmark,PET,Djinn Blocks,,yes,30.3221541,35.4642445,C,https://www.openstreetmap.org/node/2437205273,needs_name_ar,
PET-KHB,landmark,PET,Al-Khubtha High Place & Trail,جبل خبثة,yes,30.333333,35.466667,C,https://www.openstreetmap.org/node/802551326,,
PET-LTC,landmark,PET,Lion Triclinium,,yes,30.335035,35.4386386,C,https://www.openstreetmap.org/node/2528846741,needs_name_ar,
PAM,site,,Petra Museum (visitor center),متحف البترا,yes,30.325322,35.4678442,A,https://www.openstreetmap.org/way/156571190 | https://www.petramuseum.jo/ar-jo/,,"Q1 resolved: confirmed as a real, distinct entity (not a duplicate of OPM) - the new Petra Museum near the visitor center, opened 2019, Japan-funded (~$7M, 1,800 sqm), purpose-built to replace the cramped Old Petra Museum (OPM). Sourced via petramuseum.jo (official site) and independent coverage (wowjordan.com, Amman Journal). Released from HOLD into Group A for scraping."
MPL,,,Founder King's Palace / Hijaz Railway Station (Ma'an city),,unsure,,,HOLD,https://en.wikipedia.org/wiki/Ma%27an,"needs_coords,needs_name_ar,do_not_scrape,do_not_seed","DO NOT SCRAPE OR SEED until confirmed. Located in Ma'an city (governorate capital) so almost certainly within Ma'an, but the specific building/site details were never confirmed against a direct source. Verify before publishing historical claims about it. | Q5 checked 31 Aug: found general sourcing for the Hejaz Railway reaching Ma'an city in 1904 (en.wikipedia.org/wiki/Hedjaz_Jordan_Railway), but nothing confirming this specific 'Founder King's Palace' building or an extant station structure/coords - the name still conflates two different things. Not confirmed enough to release. Staying on HOLD; cut at the Thu 3 Sept gate if still unconfirmed."
,,,Wadi Rum,,no,,,EXCLUDED,,,actual governorate: Aqaba
,,,Dana Biosphere Reserve,,no,,,EXCLUDED,,,actual governorate: Tafilah
,,,Wadi al-Hasa,,no,,,EXCLUDED,,,actual governorate: Karak/Tafilah border
,,,Wadi Hisma,,no,,,EXCLUDED,,,"actual governorate: Unresolved - leans Aqaba border zone, excluded on caution"
